Week,Date,Apple,Arhar,Atta,Bajra,Banana,Besan,Biscuit,BlackPepper,Bread,Brinjal,Butter,Chicken,Coconut,CoconutOil,Coffee,Coriander,CumminSeed,Eggs,Fish,Ghee,GingellyOil,Gram,GroundnutOil,Gur,Jowar,Maida,Maize,Masur,Meat,Milk,Moong,MustardOil,Onion,Potato,Ragi,RedChillies,Rice,Salt,Sugar,Suji,Tea,Tomato,Turmeric,Urad,Vanaspati,Wheat
142,2017-03-06,120.98,86.97,26.78,21.62,41.57,66.9,7.29,656.89,24.03,27.28,40.99,160.7,83.53,213.38,880.7,22.27,214.43,55.85,248.15,437.88,187.98,55.8,134.06,45.6,27.68,29.26,24.73,71.76,479.26,41.46,95.22,119.39,35.44,26.52,31.49,23.84,45.19,13.15,36.02,34.02,167.27,31.86,20.81,87.77,85.17,24.85
143,2017-03-13,116.19,85.41,26.09,21.86,41.51,66.56,7.44,660.94,24.4,29.51,40.53,157.15,85.51,215.52,900.06,22.25,217.76,55.65,244.29,446.27,187.11,55.97,136.12,45.83,27.96,28.65,24.74,73.45,481.14,41.79,97.59,117.37,34.5,25.26,31.52,23.59,45.0,13.21,36.09,34.26,170.52,29.74,21.16,90.63,88.12,25.1
144,2017-03-20,119.29,84.43,26.69,22.17,40.24,66.93,7.09,662.01,24.16,27.65,41.13,163.75,84.63,214.72,893.13,22.28,212.95,55.13,252.07,437.7,182.78,56.5,134.48,45.96,28.26,28.62,24.33,73.37,480.89,42.24,95.85,117.81,33.97,22.61,31.94,22.97,44.1,12.93,36.25,33.96,168.73,29.87,20.9,91.58,87.15,24.44
145,2017-03-27,119.6,87.33,26.64,21.6,40.2,67.07,7.42,670.99,24.37,25.32,40.73,157.25,82.97,213.25,914.93,21.79,212.18,55.97,252.16,440.9,188.3,55.8,138.21,46.02,28.33,28.64,24.67,72.34,470.38,42.47,95.16,116.66,33.13,21.62,32.36,23.03,44.54,13.38,37.86,33.52,165.93,28.74,20.84,90.63,87.31,24.66
146,2017-04-03,120.71,86.38,26.82,22.28,40.92,66.97,7.28,638.1,23.95,24.57,40.63,162.53,83.91,213.78,919.9,22.56,219.6,56.61,247.3,451.53,189.12,56.35,138.32,46.72,29.12,30.02,24.53,71.86,462.56,42.35,96.77,119.34,31.85,20.34,31.84,23.25,44.42,13.3,36.9,34.19,164.8,24.04,20.52,90.32,88.02,24.77
147,2017-04-10,117.66,84.8,26.81,22.19,40.12,67.26,7.2,657.14,24.42,26.26,41.54,157.9,84.08,216.32,883.39,22.43,217.6,55.23,248.44,453.56,189.9,56.5,134.61,46.57,28.47,29.46,25.02,71.47,460.84,41.24,99.44,119.81,31.37,19.97,32.1,23.92,45.79,13.51,36.63,33.86,167.15,24.85,21.07,91.78,88.52,25.83
148,2017-04-17,117.89,86.05,27.72,22.44,41.02,69.14,7.18,667.61,23.5,23.49,41.64,162.55,82.7,219.1,911.62,22.65,220.13,56.38,250.26,455.14,181.94,58.67,136.74,47.7,28.99,29.45,24.55,72.68,472.41,43.67,97.42,121.53,32.32,18.97,32.07,23.39,44.16,13.13,35.84,34.52,176.09,27.57,21.02,91.41,88.95,24.83
149,2017-04-24,121.37,85.57,26.62,22.41,41.44,68.46,7.32,680.28,24.5,23.06,42.11,167.76,83.71,216.85,929.01,21.86,220.1,56.69,245.37,445.5,193.17,55.19,136.0,47.94,28.45,28.98,25.53,73.57,476.66,43.53,96.76,121.37,32.15,20.09,32.47,23.11,44.91,13.32,36.53,34.99,172.67,25.19,21.38,93.89,88.21,24.92
150,2017-05-01,121.46,85.33,26.76,22.86,41.87,67.96,7.46,664.1,24.12,25.04,41.56,165.32,84.46,216.16,916.41,22.67,217.73,56.14,254.81,456.41,188.36,57.37,137.12,46.61,28.61,29.79,24.46,72.87,487.26,43.33,95.48,120.2,31.24,18.49,31.98,23.46,44.72,13.36,36.14,33.15,172.05,25.24,21.08,93.71,89.36,24.94
151,2017-05-08,121.9,88.36,26.84,22.56,41.23,69.15,7.39,651.54,25.15,24.6,42.23,163.07,83.24,215.73,931.66,22.27,221.69,56.48,253.94,445.13,192.9,59.05,141.79,44.04,28.33,29.6,24.89,71.14,486.96,44.36,97.72,119.34,30.18,20.42,32.76,23.96,44.26,13.46,37.18,34.6,171.88,26.09,20.59,93.77,87.89,25.61
152,2017-05-15,122.6,89.9,26.98,22.48,41.34,68.54,7.58,681.46,25.13,23.97,42.5,165.78,85.89,215.55,931.17,22.63,218.71,57.39,259.17,447.43,193.9,58.11,138.41,47.81,28.69,29.87,25.95,75.2,485.6,42.88,98.79,122.4,32.29,20.88,32.93,24.04,46.77,13.21,36.97,33.87,172.49,25.35,20.72,93.95,90.79,25.57
153,2017-05-22,121.47,86.5,27.08,22.76,41.12,70.22,7.32,670.75,25.15,25.66,42.63,166.66,85.99,222.28,935.46,23.04,228.41,56.56,253.69,440.84,190.55,58.87,140.25,46.77,29.33,29.51,25.25,74.38,481.62,44.75,98.37,124.03,33.88,19.62,33.07,23.88,44.83,13.56,36.44,36.04,176.69,27.11,21.56,91.89,87.41,26.02
154,2017-05-29,123.59,89.2,27.91,23.01,41.35,69.84,7.5,667.82,25.61,25.44,42.09,168.54,84.88,223.16,932.45,23.0,220.38,58.03,256.53,467.43,195.54,58.67,141.27,46.81,29.27,30.13,25.03,74.12,483.7,43.3,97.04,124.1,34.61,23.09,32.51,24.28,45.95,13.34,37.27,34.81,173.56,28.11,21.26,94.74,90.94,26.0
155,2017-06-05,124.3,88.25,28.13,22.96,41.92,69.77,7.41,677.17,24.94,28.27,42.87,164.99,87.57,224.3,925.45,22.81,225.31,57.31,254.96,454.37,193.75,58.39,139.29,47.32,29.78,30.04,25.75,75.81,493.19,44.23,98.68,125.23,35.08,23.14,32.88,23.48,44.93,13.74,36.94,35.57,176.99,29.14,21.68,94.86,92.86,25.41
156,2017-06-12,123.25,88.89,27.51,23.08,42.49,70.62,7.61,685.21,25.94,29.27,43.21,170.48,88.35,223.56,931.38,23.2,223.61,59.18,257.93,461.16,190.29,57.5,140.27,47.52,29.63,30.05,25.6,76.9,498.29,43.56,102.42,123.86,36.72,24.31,33.22,24.34,46.01,13.35,37.68,35.37,175.65,29.47,21.69,95.62,90.94,25.74
157,2017-06-19,128.16,89.22,27.54,22.96,43.03,69.17,7.71,683.88,25.8,29.85,43.22,163.47,88.27,228.83,958.79,22.81,230.05,60.49,258.68,458.74,199.79,59.64,140.39,48.5,29.57,30.82,25.59,72.6,499.12,44.54,102.89,124.1,36.62,24.02,32.71,24.7,46.76,13.47,37.3,35.18,182.01,31.36,21.7,95.96,93.54,26.64
158,2017-06-26,126.46,89.35,28.18,23.08,42.19,69.92,7.61,669.66,25.55,30.67,42.2,169.23,88.12,224.9,954.95,23.8,228.16,58.2,267.08,470.75,195.64,59.2,141.66,47.2,30.7,30.02,25.61,76.46,493.5,44.98,100.11,124.31,38.11,26.09,34.12,24.29,46.19,14.03,37.97,35.29,180.01,31.73,21.83,96.39,94.53,26.21
159,2017-07-03,124.29,90.84,27.92,22.96,43.78,70.2,7.43,706.53,26.12,32.75,43.72,170.36,89.54,229.88,957.58,23.47,228.6,59.6,262.86,466.51,196.37,59.47,138.94,47.76,29.96,31.05,27.22,74.8,505.63,44.87,102.78,125.97,37.89,27.31,33.61,24.41,47.31,13.84,38.54,36.67,182.06,33.51,21.7,99.6,89.6,26.83
160,2017-07-10,127.94,90.24,28.5,24.06,42.9,71.73,7.75,713.59,25.51,31.91,45.13,173.8,90.06,228.29,958.45,24.01,234.15,58.85,266.77,463.04,198.46,59.98,145.53,48.97,30.59,31.23,26.17,77.22,506.75,45.59,100.62,126.53,39.44,26.92,33.89,24.21,46.98,13.83,38.27,36.53,178.48,33.01,22.06,96.65,93.83,26.48
161,2017-07-17,125.77,91.91,28.45,23.21,43.23,73.46,7.8,709.55,25.72,31.36,43.8,173.07,90.05,227.8,964.11,23.57,232.38,60.53,266.31,475.65,201.1,61.93,148.81,49.37,30.1,30.71,25.63,77.14,500.49,45.42,104.69,127.53,40.85,29.11,33.68,25.39,48.09,14.3,38.24,37.16,183.19,34.04,21.97,98.31,90.96,26.3
162,2017-07-24,129.21,91.92,27.91,23.48,42.95,74.21,7.83,692.59,25.89,33.03,43.76,170.34,89.2,231.99,984.75,23.66,234.87,58.9,264.53,466.21,201.03,62.68,146.09,49.57,30.66,30.86,27.05,77.98,504.31,45.24,103.46,127.54,39.51,27.7,33.51,24.77,48.4,14.18,38.71,36.39,180.62,34.9,22.12,96.99,94.67,26.64
163,2017-07-31,130.29,92.04,29.18,23.56,42.08,73.05,7.94,705.01,26.02,34.45,44.56,171.95,90.74,232.4,971.24,23.66,230.71,60.52,269.14,471.58,203.35,61.26,143.93,48.73,30.86,31.22,26.8,77.02,514.77,45.39,104.81,128.02,39.32,28.59,33.94,25.16,47.33,14.33,39.12,36.64,182.29,34.08,22.21,98.9,95.15,26.51
164,2017-08-07,127.42,91.58,29.37,24.14,44.23,73.17,7.74,709.05,25.93,31.5,44.67,175.31,92.05,233.08,962.03,24.28,230.01,59.62,272.57,465.47,199.03,60.96,145.79,48.74,30.67,31.53,26.34,75.77,511.35,46.34,101.38,127.47,39.94,27.61,34.4,25.36,47.91,14.19,38.24,36.49,186.52,34.2,22.31,99.41,92.49,26.73
165,2017-08-14,130.75,92.24,28.52,23.83,44.25,71.33,7.93,717.2,26.75,31.57,45.31,175.11,90.39,233.08,990.67,23.82,235.6,60.32,267.52,470.99,201.17,60.6,146.56,49.2,29.75,31.43,26.35,77.51,523.46,45.62,105.03,130.52,39.24,27.36,34.69,25.72,48.1,14.75,39.09,36.58,180.62,33.89,22.73,99.0,98.07,27.08
166,2017-08-21,130.14,94.01,28.67,24.37,43.72,72.64,8.01,719.15,26.34,31.55,43.97,174.3,93.54,233.41,981.34,24.32,234.67,59.8,274.8,481.87,203.3,62.0,145.99,49.82,30.76,31.75,27.02,78.6,518.73,46.65,104.29,129.52,39.35,24.79,34.57,25.27,48.49,14.18,39.75,36.3,184.03,33.57,22.45,100.84,96.33,27.25
167,2017-08-28,131.07,93.9,28.98,23.81,44.0,72.58,7.72,704.68,26.59,30.27,45.22,174.83,90.91,240.46,986.23,24.02,238.16,61.4,270.0,469.85,208.99,63.12,149.59,50.77,31.3,32.36,26.7,79.38,514.35,46.92,105.68,129.42,37.62,25.64,34.72,25.2,48.19,14.64,39.4,36.91,184.93,33.0,22.84,97.92,95.16,26.56
168,2017-09-04,133.04,92.35,29.04,24.14,44.32,72.85,7.94,713.95,26.34,28.48,45.2,177.84,91.68,237.68,1007.22,23.52,236.06,60.14,271.67,473.51,203.97,61.69,149.77,48.33,31.06,31.45,26.08,77.11,518.14,45.3,105.89,128.76,38.55,23.75,34.49,25.46,48.37,14.33,39.15,36.54,185.37,30.03,23.03,98.57,98.09,27.15
169,2017-09-11,129.6,93.69,29.18,23.81,43.08,73.34,7.87,718.0,25.96,29.27,44.81,175.06,91.03,236.79,988.09,24.0,237.1,61.3,275.32,482.95,207.31,60.17,146.54,49.64,31.06,30.97,27.51,79.52,519.4,46.98,104.76,128.02,35.03,22.64,34.88,25.84,48.13,14.05,39.49,37.16,183.2,30.67,22.83,99.53,94.27,26.98
170,2017-09-18,128.81,94.5,29.71,24.76,43.71,73.12,7.91,728.4,26.66,29.26,45.1,176.11,92.08,235.39,992.46,23.8,231.03,60.59,271.66,479.93,204.64,62.5,149.95,48.85,30.22,32.04,26.65,77.71,515.49,47.54,103.83,132.21,36.22,23.77,35.32,25.4,48.37,14.45,39.38,37.04,189.34,28.78,22.73,100.41,95.0,26.96
171,2017-09-25,128.58,91.73,28.86,23.7,44.49,71.78,7.96,719.35,25.95,26.43,45.5,181.41,89.99,237.92,974.35,24.19,242.5,60.76,274.04,495.31,203.24,62.75,151.41,48.59,30.61,32.39,27.37,78.76,514.83,46.49,105.74,131.09,33.59,21.17,35.0,25.16,49.11,14.42,39.52,37.09,181.21,26.93,22.65,99.57,93.72,27.23
172,2017-10-02,128.63,94.25,28.6,24.16,43.2,74.21,7.87,718.98,26.54,24.61,45.37,172.7,91.28,236.65,985.81,23.76,235.43,60.92,272.87,494.15,203.74,60.81,152.06,50.37,31.04,31.83,27.25,77.74,524.25,46.67,104.46,127.71,31.92,19.66,35.04,24.97,48.66,14.16,37.94,37.73,187.68,25.33,22.8,100.89,98.62,26.98
173,2017-10-09,129.72,92.79,28.34,24.23,44.07,72.53,7.84,709.62,26.1,23.35,44.14,171.44,90.65,235.27,995.22,24.42,237.89,60.11,274.17,477.37,203.73,62.09,153.68,49.98,31.01,31.16,26.33,78.37,525.04,46.88,103.17,131.33,33.02,19.51,34.81,25.06,48.63,14.17,38.13,36.87,186.89,24.55,22.52,98.44,96.77,27.63
174,2017-10-16,130.23,94.1,28.54,24.12,42.98,73.62,7.9,721.99,27.16,24.43,45.22,177.38,91.9,234.23,967.14,24.04,232.31,60.79,265.75,485.36,205.46,62.23,146.99,49.81,31.28,31.51,27.05,78.97,523.44,46.05,102.91,131.46,32.17,18.23,34.02,25.68,48.56,14.31,39.45,37.19,188.24,24.85,22.76,97.74,97.04,27.52
175,2017-10-23,129.88,92.41,28.74,23.88,43.98,75.15,7.77,708.69,26.77,24.91,44.61,173.49,92.71,234.59,987.19,23.96,235.48,61.73,267.19,485.7,207.09,61.75,153.3,50.0,30.69,31.03,26.32,76.49,528.24,46.24,101.89,130.06,31.25,20.24,34.16,25.27,47.91,14.36,37.97,37.74,179.52,24.5,22.59,99.35,96.45,27.46
176,2017-10-30,130.5,91.03,29.37,23.84,43.54,72.34,7.76,692.14,26.46,24.36,44.58,173.88,92.19,225.99,983.91,24.17,229.44,59.71,274.68,476.55,203.95,61.09,147.53,48.86,30.83,31.69,25.77,76.86,515.9,45.27,102.97,132.12,30.81,18.44,34.73,25.13,48.09,13.81,38.9,37.29,180.8,24.58,22.22,98.69,96.58,26.81
177,2017-11-06,128.82,91.02,28.4,23.83,42.44,70.74,7.91,713.78,26.78,24.19,44.45,172.24,88.75,234.66,980.82,24.19,234.45,61.11,275.52,469.96,205.59,62.32,146.84,48.73,30.6,30.76,26.23,77.54,527.86,46.0,104.93,129.73,32.52,19.68,34.46,25.04,47.06,14.42,38.35,37.12,185.96,23.36,22.54,99.23,95.75,26.57
178,2017-11-13,130.84,92.72,28.59,23.7,43.97,72.57,7.71,702.85,26.03,24.16,44.19,172.89,93.32,232.34,990.5,23.79,230.9,61.18,268.58,477.64,199.33,61.1,148.12,50.38,30.12,31.1,26.44,79.66,512.28,46.09,103.28,126.91,33.88,20.81,34.57,25.23,48.4,14.09,37.85,36.31,177.34,24.54,22.21,98.28,95.73,26.86
179,2017-11-20,127.58,92.7,28.4,23.97,42.65,73.61,7.87,686.99,26.41,24.42,44.83,176.68,91.22,237.42,978.95,23.45,231.25,59.11,270.08,475.27,200.14,60.13,146.19,48.47,29.52,30.7,25.99,75.84,510.69,45.96,101.91,129.35,34.27,19.9,35.0,25.06,45.66,13.89,38.43,36.45,177.39,26.32,22.07,97.63,95.26,26.69
180,2017-11-27,132.12,91.09,28.76,24.28,42.43,74.18,7.82,683.0,26.22,26.95,43.92,174.13,89.82,232.68,990.07,23.03,232.48,58.38,271.11,472.2,198.65,59.53,147.53,48.95,30.48,31.06,25.94,78.66,505.39,46.14,103.39,128.82,34.71,21.56,34.51,24.98,47.21,14.26,38.19,35.57,179.44,25.14,21.87,97.66,94.1,26.44
181,2017-12-04,128.2,92.58,29.16,23.32,42.86,71.11,7.57,687.75,26.16,28.0,43.15,173.58,90.59,228.88,956.35,23.29,225.09,59.57,271.67,475.97,200.68,61.84,144.15,48.22,30.28,30.74,26.37,78.3,511.82,44.91,100.68,127.16,36.07,21.17,34.63,25.41,47.81,14.04,39.07,36.32,180.42,26.73,21.97,97.49,94.48,26.15
182,2017-12-11,125.29,89.64,27.88,22.97,43.26,72.43,7.65,685.82,26.41,26.89,43.42,167.47,90.36,231.36,967.12,23.22,225.88,58.65,262.07,467.18,198.19,61.17,145.64,46.69,29.86,30.85,25.85,75.71,510.38,44.9,101.58,128.62,36.7,25.04,34.05,25.39,46.04,14.22,37.39,36.08,183.11,28.44,22.14,96.78,94.55,26.45
183,2017-12-18,124.49,91.19,27.79,23.29,41.76,71.35,7.81,679.18,26.15,30.66,43.59,167.4,89.2,228.12,963.28,23.36,228.64,60.37,265.02,463.18,200.34,60.59,147.9,46.34,29.36,30.66,25.36,75.17,515.16,46.16,100.78,124.79,36.58,24.75,33.57,24.33,46.98,14.02,38.36,35.82,178.19,30.77,22.01,96.6,94.04,26.23
184,2017-12-25,126.63,89.59,28.27,24.04,42.23,71.46,7.57,676.72,25.93,30.75,44.04,162.7,89.9,231.64,945.86,23.11,233.06,58.67,266.08,469.28,195.26,60.02,145.17,47.15,30.14,30.12,25.84,74.42,512.47,44.82,101.72,128.55,37.59,24.72,33.79,24.86,46.12,13.9,37.59,36.17,176.53,32.03,21.76,96.06,91.83,26.52
185,2018-01-01,125.03,89.96,28.02,22.89,42.28,73.71,7.59,688.24,25.22,32.33,43.52,166.87,88.79,230.62,967.9,23.36,224.69,57.77,268.73,469.47,197.15,59.78,145.15,48.09,29.69,30.68,25.53,74.79,503.22,44.88,98.01,125.32,39.51,25.04,33.38,24.45,46.14,13.82,36.87,34.97,178.11,31.8,21.74,97.31,91.7,26.42
186,2018-01-08,126.19,90.51,28.37,23.58,42.27,69.81,7.66,677.96,25.38,30.63,42.52,170.44,88.79,231.91,981.98,22.85,226.17,57.29,273.9,458.61,198.2,59.2,145.38,47.7,29.91,30.29,24.37,73.05,506.85,44.59,98.66,124.84,40.27,26.23,34.28,24.54,46.82,13.89,37.52,36.22,177.89,31.2,21.87,96.23,94.34,26.48
187,2018-01-15,125.42,89.22,27.8,23.52,41.8,71.2,7.67,665.12,25.58,31.1,44.34,168.8,88.29,226.78,950.36,22.95,222.99,58.9,264.43,470.06,190.36,59.54,146.28,47.6,30.34,29.8,25.4,74.21,506.12,44.02,97.2,125.89,41.65,26.48,33.88,24.65,46.19,13.69,37.24,35.76,177.27,33.8,21.35,98.49,92.41,25.57
188,2018-01-22,124.18,89.56,27.35,22.75,41.33,71.23,7.55,670.29,25.6,32.4,42.91,166.51,87.31,228.6,954.46,23.28,228.97,57.39,260.06,452.57,200.85,58.14,141.07,46.09,28.68,31.06,25.29,75.65,497.37,45.33,98.83,126.48,41.86,28.6,33.69,24.43,44.63,13.57,36.81,35.19,175.29,32.74,20.98,95.71,93.26,26.09
189,2018-01-29,122.6,90.98,27.64,23.05,40.92,71.65,7.5,646.08,25.15,32.96,43.4,166.51,88.87,224.53,947.22,22.94,216.06,57.73,265.49,458.78,194.05,59.07,144.75,47.77,29.18,30.24,25.06,73.15,501.34,43.98,100.62,125.85,41.78,25.93,33.93,24.52,45.19,13.81,36.82,35.06,170.59,32.03,21.66,94.65,91.04,25.63
190,2018-02-05,121.25,89.01,27.78,23.33,41.37,70.66,7.69,659.24,26.26,33.83,42.47,164.52,89.23,229.83,935.66,22.75,221.53,58.33,268.11,459.9,189.07,59.3,143.08,45.82,29.32,29.91,25.32,73.36,502.14,43.55,97.96,124.28,40.83,26.79,32.52,24.62,46.33,13.64,36.24,35.29,172.71,31.9,21.04,98.43,90.42,25.4
191,2018-02-12,122.84,90.53,27.62,22.66,40.57,70.76,7.71,672.54,25.94,32.39,42.8,166.32,89.07,229.19,920.68,22.52,215.33,57.07,263.92,456.98,194.51,59.92,143.71,46.54,29.93,30.51,24.65,71.62,514.52,43.88,97.76,124.52,39.47,26.17,33.58,24.48,45.91,13.65,36.03,35.73,178.02,33.03,20.95,95.56,91.06,25.64
192,2018-02-19,124.87,88.19,27.46,22.69,39.38,70.09,7.62,648.79,25.62,30.87,42.92,167.41,89.36,229.06,933.61,22.48,212.02,57.34,260.48,456.98,193.96,59.39,145.2,46.29,28.68,30.65,24.99,73.74,507.39,42.93,99.57,123.49,40.36,25.4,32.76,24.17,46.68,13.83,36.84,35.01,174.86,33.25,20.57,96.19,91.72,26.13
193,2018-02-26,123.73,90.07,27.65,22.55,41.38,70.66,7.53,640.64,25.44,29.32,43.12,161.58,88.82,227.77,924.71,22.38,221.03,57.32,266.51,471.53,193.54,60.01,141.27,46.12,30.07,29.8,24.22,73.54,510.26,43.7,99.75,124.88,39.66,24.55,33.3,24.17,46.6,13.6,36.25,35.0,173.52,30.53,21.28,95.67,91.15,25.61
194,2018-03-05,121.29,91.14,27.68,22.41,41.64,70.13,7.44,641.89,25.35,30.3,43.01,166.07,87.93,229.02,963.08,22.47,220.35,57.87,265.66,455.08,196.34,60.44,141.65,47.15,29.36,29.99,24.96,73.28,498.3,43.52,98.08,126.93,36.28,23.58,33.18,23.92,45.3,13.63,36.3,34.94,176.94,29.38,20.6,95.73,93.52,26.29
195,2018-03-12,123.71,86.69,27.77,22.53,39.65,71.04,7.44,636.67,25.13,27.34,42.92,167.6,89.49,232.45,941.11,22.9,218.93,57.81,260.39,475.26,195.78,60.26,140.17,45.7,29.28,29.44,25.55,72.98,514.32,44.46,99.18,125.37,36.63,23.38,33.62,24.12,47.12,13.52,36.49,35.8,171.61,29.07,20.86,95.69,92.23,25.94
196,2018-03-19,124.18,88.72,27.51,22.37,40.49,70.24,7.58,639.95,25.5,28.56,42.26,164.51,87.24,227.73,939.27,22.6,219.62,57.2,265.31,463.63,194.78,59.89,142.79,45.27,29.27,29.82,24.42,72.94,515.77,43.76,96.77,126.87,35.78,22.14,33.48,25.02,45.58,13.72,36.5,34.79,173.94,24.5,21.29,93.8,94.34,25.63
197,2018-03-26,122.25,90.45,27.23,22.8,41.53,71.03,7.58,644.85,25.6,25.91,42.16,167.36,87.89,229.31,956.05,22.25,230.46,57.5,267.79,462.27,195.46,59.65,146.33,46.28,29.22,29.84,24.54,73.88,497.96,44.74,100.35,128.02,35.56,21.02,34.0,24.21,45.02,13.73,35.6,35.01,175.05,25.52,21.36,95.75,92.75,26.22
198,2018-04-02,124.23,89.74,27.4,22.59,42.47,70.82,7.7,634.38,25.17,26.67,42.78,172.69,88.03,226.58,933.12,23.32,219.71,57.26,268.99,465.55,194.39,59.04,144.13,46.06,29.86,30.05,24.59,73.44,506.63,45.13,101.61,125.15,33.98,17.29,33.26,24.14,45.31,13.86,37.16,35.79,174.0,23.72,20.97,93.89,89.55,26.02
199,2018-04-09,124.38,90.64,27.88,22.96,41.33,72.04,7.64,651.04,25.74,25.18,43.23,166.13,90.48,227.81,939.93,22.89,222.73,56.51,265.65,479.15,199.81,60.49,142.4,48.81,29.1,30.19,24.97,73.97,514.99,44.88,99.55,126.11,34.0,19.37,33.9,24.67,44.39,13.62,36.59,35.24,175.73,23.41,21.18,95.54,93.96,25.59
200,2018-04-16,122.74,89.79,27.18,22.46,40.99,71.2,7.45,662.25,25.66,23.98,42.68,167.78,90.61,231.13,953.1,22.39,219.49,58.07,265.53,459.21,191.81,61.38,144.35,47.04,29.75,30.37,24.57,74.06,517.52,44.43,96.15,130.15,33.42,17.25,33.78,24.61,46.98,13.68,36.51,35.82,175.54,21.5,21.01,95.16,91.15,26.65
201,2018-04-23,125.66,90.9,27.72,23.13,41.45,69.91,7.73,644.47,25.18,23.39,43.57,165.63,90.44,234.65,968.22,22.78,223.32,59.57,271.61,460.02,196.73,60.58,143.11,46.42,29.56,30.33,25.22,75.28,511.82,44.79,98.62,129.47,33.27,18.9,33.14,24.67,47.12,13.96,36.98,34.95,173.22,20.73,21.18,96.81,93.56,26.18
202,2018-04-30,126.46,90.96,27.53,23.37,42.55,72.9,7.55,673.11,25.62,23.54,43.96,168.42,91.41,231.91,965.29,23.04,222.35,57.55,264.72,463.99,197.26,61.99,144.31,46.13,29.52,29.83,25.47,75.07,515.98,43.98,100.64,125.14,32.84,19.56,33.57,25.26,45.63,13.91,37.0,35.42,177.66,21.78,21.5,97.15,92.7,26.19
203,2018-05-07,127.84,92.86,27.8,22.58,41.48,71.25,7.64,664.65,25.87,24.46,42.74,169.76,89.68,232.94,966.07,23.66,222.66,57.87,271.19,470.67,200.03,59.66,147.55,45.73,30.96,30.07,25.45,74.84,516.49,44.98,99.58,128.85,33.2,17.78,34.03,25.1,46.32,13.75,37.44,36.38,174.76,23.79,21.35,97.72,96.6,25.99
204,2018-05-14,128.33,92.21,28.4,23.42,41.57,71.79,7.74,673.06,26.73,24.63,42.98,169.85,91.4,233.51,968.15,22.84,230.99,58.05,266.49,462.07,196.52,60.2,145.47,46.54,30.24,30.37,24.67,76.59,522.85,44.75,102.39,128.81,33.34,18.77,34.71,24.87,46.72,14.22,37.47,35.5,179.11,23.47,21.52,97.91,96.16,26.82
205,2018-05-21,124.87,92.72,28.11,23.8,41.95,72.17,7.95,657.63,26.42,24.74,43.58,167.73,91.31,234.24,976.54,23.62,229.88,59.6,275.65,474.81,195.06,61.99,150.14,47.55,30.45,30.62,25.85,75.74,531.47,45.86,101.88,130.68,35.31,19.13,34.59,25.02,46.26,13.73,37.74,35.91,182.82,22.76,21.24,97.26,93.96,26.7
206,2018-05-28,126.2,92.29,28.19,23.14,41.86,74.28,8.1,677.19,25.93,25.97,44.05,171.44,92.79,237.58,978.67,23.87,227.49,59.65,272.64,487.16,201.0,61.84,148.77,48.7,30.8,31.32,25.95,77.05,522.7,47.17,100.53,128.86,36.36,21.46,34.08,25.11,45.98,14.25,38.26,36.28,179.7,22.89,22.15,98.15,95.15,26.87
207,2018-06-04,129.23,92.65,27.78,24.16,42.72,71.49,7.89,659.2,26.65,27.16,43.77,175.25,92.19,233.92,968.12,23.32,220.51,59.45,278.91,480.12,202.29,62.92,149.76,48.71,29.93,30.54,26.03,76.66,535.38,46.18,102.06,129.34,36.22,21.42,34.67,25.66,47.19,13.95,38.18,35.85,178.43,23.74,22.06,100.06,96.06,26.6
208,2018-06-11,129.85,93.17,28.73,23.88,43.84,76.57,7.84,684.03,26.12,26.28,45.09,173.67,92.35,242.52,986.19,23.55,228.04,59.13,277.72,479.75,206.45,62.22,149.85,48.31,31.34,31.03,25.98,74.39,527.75,44.95,101.25,130.23,39.23,23.75,35.74,25.42,47.34,14.59,37.79,36.3,181.81,28.51,22.25,100.72,97.27,27.2
209,2018-06-18,130.47,94.57,28.83,23.64,43.26,75.06,7.95,679.46,27.1,29.56,44.76,175.72,93.8,238.46,977.09,23.41,239.28,60.23,273.48,480.11,200.16,61.88,152.41,48.16,29.8,31.73,26.04,78.15,529.94,46.12,102.75,131.02,38.74,23.63,35.11,25.08,47.53,14.03,37.44,36.73,181.0,27.22,22.51,98.5,96.73,27.35
210,2018-06-25,136.64,94.08,29.55,23.96,43.11,74.66,8.03,686.81,26.72,29.29,44.74,173.69,94.6,243.32,996.07,23.8,230.67,59.18,283.4,491.58,207.51,62.67,153.15,48.8,30.63,31.35,26.48,77.25,542.01,46.63,102.71,133.79,41.3,24.4,35.1,25.74,48.15,14.59,39.16,36.87,185.29,29.18,21.97,98.51,95.92,26.93
211,2018-07-02,131.78,95.33,28.73,24.26,43.28,74.76,7.94,671.09,26.97,30.0,44.08,176.84,93.37,239.09,993.7,23.96,236.14,60.83,285.1,483.38,211.64,61.97,153.07,48.47,30.9,31.81,26.94,77.4,545.09,46.82,105.62,131.32,40.35,25.05,35.6,25.4,49.13,14.43,38.29,37.64,184.35,32.16,22.21,99.95,96.73,26.79
212,2018-07-09,133.29,97.81,29.06,24.22,42.7,75.39,8.19,677.09,27.55,30.22,44.35,176.49,94.44,245.37,1035.48,24.3,238.27,61.69,284.17,501.71,205.32,62.55,154.14,50.26,31.45,31.7,25.95,78.1,547.09,46.55,107.41,132.77,39.9,26.32,35.87,26.67,48.24,14.45,38.32,37.93,189.61,29.65,21.83,102.56,98.02,27.61
